run,id,model,kind,tipo_documento,arquivo,target,answer,exact_match,target_ppl
1,1,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,Auxiliar de Atividade Educacional 1,A servidora Maria Alice de Carvalho Serio foi contratada para a função de **Coordenadora de,0,23.2096
1,2,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,"R$ 61.600,00","O valor total estimado para a prestação de serviços de dedetização, conforme o Aviso de Contratação",0,4.8658
1,3,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,"R$ 108.675,60","1.000,00
2.000,00
3.500",0,7.4075
1,4,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Chefe de Departamento de Assistência Farmacêutica,Secretária de Saúde,0,6.1905
1,5,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,35,00000000000000000000000,0,130.7195
1,6,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,GT ENGENHARIA E PROJETOS LTDA.,"A empresa declarada apta a contratar com a Administração Pública, conforme o Termo de Ratificação do",1,8.3647
1,7,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,Edivan Pereira de Miranda,A cidadã Ana Maria de Oliveira foi nomeada para exercer o cargo em comissão de Secretário Municipal,0,68.877
1,8,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,Comarca de Esperantina,"O Foro da Comarca de Joaquim Pires, localizado na cidade de Joaquim Pires",0,12.7511
1,9,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 98/2025,1000/2019,0,15.0664
1,10,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,"2.341,00","R$ 1.000,00
O valor unitário final registrado para o ""Item 4",0,9.7433
1,11,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,40,"40 horas semanais
A jornada de trabalho semanal exata (em horas) estabelec",1,48.5942
1,12,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,TARCISIO SOUSA E SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,"A sociedade individual de advocacia contratada por inexigibilidade é a **""Sociedade Individual de Advocacia",1,6.1933
1,13,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,06.554.380/0001-92,"11.000.000/0001-00
A entidade municipal",0,5.3012
1,14,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Francisco Savio Canuto Carvalho,"O profissional nomeado para o cargo de Chefe de Departamento de Recursos Humanos Municipal de Saúde, conforme",1,60.2092
